original_Nr. Matricola,original_Cod. Cli/For,original_RAGIONESOCIALE,original_Commessa,original_Cod. Dest.,original_H2DES,original_INDIRIZZO,original_CITTA,original_CAP,original_PROVINCIA,original_NAZIONE,original_LONG,original_LAT,original_Fatt-Fitt,lat,lon,formatted,name,housenumber,district,street,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
GM0807022,1201001843,NIMA DI NICOLETTI & C. SNC OFF.MECCANICA,GM022,,,VIA E. FERMI 32,MONTEBELLUNA,31044,TV,Italia,12.070969671,45.76799074,-918,45.767743,12.071047,"Via Enrico Fermi, 32, 31044 Comune di Montebelluna TV, Italia",,32,,Via Enrico Fermi,31044,,Comune di Montebelluna,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
AM1606095,1201001857,LUNA QUINTO SPA,AM075,,,VIA JESI 149,OSIMO,60027,AN,Italia,13.490450100,43.4602368,-3656,43.460121,13.493586,"Via Jesi, 149, 60027 Comune di Osimo AN, Italia",,149,,Via Jesi,60027,,Comune di Osimo,Ancona,AN,Marche,MAR,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
AM1606092,1201001852,COME SRL,AM072,,,VIA DEI CARPENTIERI 5,ALFONSINE,48011,RA,Italia,12.018180858,44.50926009,-2213,44.5085086,12.0171109,"Via dei Carpentieri, 5, 48011 Alfonsine RA, Italia",,5,,Via dei Carpentieri,48011,,Alfonsine,Ravenna,RA,Emilia-Romagna,EMI,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
XM1206037,1201001806,MAIT SPA,XM028,,,VIA FLAMINIA SECONDA 151,OSIMO,60027,AN,Italia,13.525782995,43.47110021,-4675,43.472296,13.526305,"Via Flaminia Seconda, 151, 60027 Comune di Osimo AN, Italia",,151,,Via Flaminia Seconda,60027,,Comune di Osimo,Ancona,AN,Marche,MAR,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
AM1006090,1201001806,MAIT SPA,AM070,,,VIA FLAMINIA SECONDA 151,OSIMO,60027,AN,Italia,13.525782995,43.47110021,2246,43.472296,13.526305,"Via Flaminia Seconda, 151, 60027 Comune di Osimo AN, Italia",,151,,Via Flaminia Seconda,60027,,Comune di Osimo,Ancona,AN,Marche,MAR,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
174805,1201001897,ISELLA & COLOMBO SNC,RR028,,,VIA I MAGGIO 6,ANNONE DI BRIANZA,23841,LC,Italia,9.328660282,45.79672673,-1258,45.80262,9.327266,"Via I Maggio, 6, 23841 Annone di Brianza LC, Italia",,6,Comune di Annone di Brianza,Via I Maggio,23841,,Annone di Brianza,Lecco,LC,Lombardia,LOM,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
RV2006055,1201001474,O.ME.CA SRL,RV055,,,VIA BONFANTI 12,COLZATE,24020,BG,Italia,9.856803569,45.81351485,4139,45.8150127,9.8558848,"Via Bonfanti, 12, 24020 Colzate BG, Italia",,12,Pisonda,Via Bonfanti,24020,,Colzate,Bergamo,BG,Lombardia,LOM,Italia,it,1,1,1,,,
PM4000013,1201001978,PROMET SRL,PM013,,Linea PRAGMA_M,VIA MOLISE 17,MONSANO,60030,AN,Italia,13.289116300,43.5661996,-2464,,,,,,,,,,,,,,,,,,,,,,
B94016,1201001982,ALFA STAMPI SRL,7194,,Obsoleta,VIA TOSCANA 4,MOTTA DI LIVENZA,31045,TV,Italia,12.613944614,45.75382121,-810,45.753551,12.61405,"Via Toscana, 4, 31045 Motta di Livenza TV, Italia",,4,,Via Toscana,31045,Zona Industriale SUD Motta di Livenza,Motta di Livenza,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
L491104,1201001982,ALFA STAMPI SRL,L4022,,,VIA TOSCANA 4,MOTTA DI LIVENZA,31045,TV,Italia,12.613944614,45.75382121,277,45.753551,12.61405,"Via Toscana, 4, 31045 Motta di Livenza TV, Italia",,4,,Via Toscana,31045,Zona Industriale SUD Motta di Livenza,Motta di Livenza,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
XM2406038,1201000580,DELMA SRL,XM029,,,VIA G. MARCORA 6,GENIVOLTA,26020,CR,Italia,9.874902031,45.32733917,-1203,45.3274213,9.8748219,"Delma Srl, Via Marcora, 6, 26020 Genivolta CR, Italia",Delma Srl,6,,Via Marcora,26020,,Genivolta,Cremona,CR,Lombardia,LOM,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93606178,1201000820,PEGORARO SRL,LB121,,,VIA SCHIO 16,MALO,36034,VI,Italia,11.404663800,45.6733032,2365,45.667654,11.406273,"Via Schio, 16, 36034 Malo VI, Italia",,16,Comune di Malo,Via Schio,36034,,Malo,Vicenza,VI,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
L286039,1201001997,RICCIARELLI SPA,L2030,,,VIA U. MARIOTTI 143 - Z.I. S.AGOSTINO,PISTOIA,61100,PT,Italia,10.954136033,43.93044848,2436,43.9306602,10.9540139,"Via Umberto Mariotti, 143, 51100 Pistoia PT, Italia",,143,Comune di Pistoia,Via Umberto Mariotti,51100,,Pistoia,Pistoia,PT,Toscana,TOS,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L191155,1201001945,B.M. STAMPI SRL,L1034,,,VIA DEL COMMERCIO 15,CASTELGOMBERTO,36070,VI,Italia,11.382376369,45.594132,-4759,45.5940845,11.3823365,"Via del Commercio, 15, 36070 Castelgomberto VI, Italia",,15,,Via del Commercio,36070,,Castelgomberto,Vicenza,VI,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SV1706032,1201001939,S P M SPA,SV032,1,,"VIA PATRIOTI, 36/38",CASTENEDOLO,25014,BS,Italia,10.286224812,45.47854455,256,,,,,,,,,,,,,,,,,,,,,,
RV2007058,1201001574,CORMEC SRL,RV058,1,,VIA VECCHIO MULINO 1,ANCARANO,64010,TE,Italia,13.746664956,42.85293235,-650,42.836048,13.739392,"Ancarano, ABR, Italia",,,,,,,Ancarano,Teramo,TE,Abruzzo,ABR,Italia,it,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LM0604144,1201002014,STEELFORM SRL,LM145,1,Linea SIRIO_M,"VIA UDINE, 60",RIVIGNANO,33050,UD,Italia,13.047710183,45.87981754,-2865,45.879902,13.046981,"Via Udine, 60, 33050 Rivignano Udine, Italia",,60,Rivignano,Via Udine,33050,,Rivignano,Udine,UD,Friuli-Venezia Giulia,,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
L93694009,1201002018,F.LLI ROSATI SNC,7032,,Obsoleta,VIA LUIGI CORRADI 51,TERNI,5100,TR,Italia,12.600057700,42.5654819,1520,,,,,,,,,,,,,,,,,,,,,,
PM4002042,1201002019,PCM PLASTIC COMPRESSION MOULDS SRL,PM042,,Linea PRAGMA_M,VIA PIOSSASCO RIVALTA 44,BRUINO,10090,TO,Italia,7.486592653,45.00371011,209,45.003828,7.487395,"Via Piossasco Rivalta, 44 /1, 10045 Bruino Torino, Italia",,44 /1,,Via Piossasco Rivalta,10045,Area industriale di Bruino,Bruino,Torino,TO,Piemonte,PIE,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
LM0604136,1201001183,STEAT SRL,LM137,,Linea SIRIO_M,VIA MASSIMO D'ANTONA 35,RIVALTA DI TORINO,10040,TO,Italia,7.557057468,45.00492579,1929,,,,,,,,,,,,,,,,,,,,,,
LM0607162,1201001770,BIEFFE SRL,LM163,,,VIA I MAGGIO 32,BORGO TICINO,28040,NO,Italia,8.608089200,45.6961145,-4705,45.694645,8.608236,"Via I Maggio, 32, 28040 Borgo Ticino NO, Italia",,32,Comune di Borgo Ticino,Via I Maggio,28040,,Borgo Ticino,Novara,NO,Piemonte,PIE,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
TM3507008,1201001974,OFFICINE MECC.PELLANDA SRL,TM008,,,VIA FACCA 89,CITTADELLA,35013,PD,Italia,11.792292800,45.6265971,761,45.6204423,11.7948103,"Via Facca, 89, 35013 Cittadella PD, Italia",,89,,Via Facca,35013,,Cittadella,Padova,PD,Veneto,VEN,Italia,it,1,1,1,,,
VM0607015,1201001904,TP OFFICINE MECCANICHE S.R.L.,VM015,1,,"VIA EMILIA, 60",CADEO,29010,PC,Italia,9.838187200,44.9718512,-4729,44.966583,9.849676,"Via Emilia, 60, 29010 Roveleto PC, Italia",,60,Comune di Cadeo,Via Emilia,29010,,Roveleto,Piacenza,PC,Emilia-Romagna,EMI,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
TM3507009,1201000796,CARPENTERIE METALLICHE DI COLZATE SRL,TM009,,,VIA L. RODIGARI 10,COLZATE,24020,BG,Italia,9.858677487,45.81206358,-4202,45.8118178,9.8588003,"Via Luigi Rodigari, 10, 24020 Colzate BG, Italia",,10,,Via Luigi Rodigari,24020,,Colzate,Bergamo,BG,Lombardia,LOM,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
RV2007059,1201000427,MONDIALSTAMPI SNC DI CORTESE GIORGIO & C.,RV059,,,"VIA DELL'ARTIGIANATO, 20",SCHIAVON,36060,VI,Italia,11.642528600,45.693663,1220,45.692596,11.642342,"Via dell'Artigianato, 20, 36060 Schiavon VI, Italia",,20,Comune di Schiavon,Via dell'Artigianato,36060,,Schiavon,Vicenza,VI,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ST2006001,1201000334,STAMPOTECNICA SRL,ST001,,,VIA SCHIAVONESCA 129,CASELLE DI ALTIVOLE,31030,TV,Italia,11.963049814,45.7339404,-3800,45.7337298,11.9630234,"Via Schiavonesca, 129, 31030 Caselle di Altivole TV, Italia",,129,,Via Schiavonesca,31030,,Caselle di Altivole,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
XM1407044,1201001955,SABE DI SALA PASQUALE SRL,XM035,,,VIA LOCATELLI 2,RANICA,24020,BG,Italia,9.723516118,45.71296492,2033,45.722968,9.706959,"Via Antonio Locatelli, 2, 24020 Torre Boldone BG, Italia",,2,Comune di Torre Boldone,Via Antonio Locatelli,24020,,Torre Boldone,Bergamo,BG,Lombardia,LOM,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
VM0407017,1201001474,O.ME.CA SRL,VM017,,,VIA BONFANTI 12,COLZATE,24020,BG,Italia,9.856803569,45.81351485,-46,45.8150127,9.8558848,"Via Bonfanti, 12, 24020 Colzate BG, Italia",,12,Pisonda,Via Bonfanti,24020,,Colzate,Bergamo,BG,Lombardia,LOM,Italia,it,1,1,1,,,
RV1502014,1201001953,MAP SRL,RV014,,Linea RAID,VIA MISTRI 41,VERTOVA,24029,BG,Italia,9.850810900,45.8060579,-1933,,,,,,,,,,,,,,,,,,,,,,
PM4099012,1201001939,S P M SPA,PM012,1,Linea PRAGMA_M,"VIA PATRIOTI, 36/38",CASTENEDOLO,25014,BS,Italia,10.286224812,45.47854455,-2232,,,,,,,,,,,,,,,,,,,,,,
RV2007060,1201001991,WORK MEC SRL,RV060,,,LOCALITA' TORRE SAPIENZA,MARSCIANO,6055,PG,Italia,12.349810885,42.92311651,2485,42.92572,12.33751,"Via Torre Sapienza, 6055 Comune di Marsciano PG, Italia",,,,Via Torre Sapienza,6055,,Comune di Marsciano,Perugia,PG,Umbria,UMB,Italia,it,0.5400000000000001,0.81,0.5400000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LM0699049,1201002073,IRON SRL,LM050,,Linea SIRIO_M,VIA FERMI N.20,MARENO DI PIAVE,31010,TV,Italia,12.336483907,45.86561134,-1804,45.865662,12.338334,"Via Enrico Fermi, 20, 31010 Cosniga-Zoppè TV, Italia",,20,Comune di San Vendemiano,Via Enrico Fermi,31010,,Cosniga-Zoppè,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
L93602159,1201002073,IRON SRL,LB102,,Linea LEM_93,VIA FERMI N.20,MARENO DI PIAVE,31010,TV,Italia,12.336483907,45.86561134,-2588,45.865662,12.338334,"Via Enrico Fermi, 20, 31010 Cosniga-Zoppè TV, Italia",,20,Comune di San Vendemiano,Via Enrico Fermi,31010,,Cosniga-Zoppè,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
B02133,1201002073,IRON SRL,SB093,,Linea SPAZIO,VIA FERMI N.20,MARENO DI PIAVE,31010,TV,Italia,12.336483907,45.86561134,3642,45.865662,12.338334,"Via Enrico Fermi, 20, 31010 Cosniga-Zoppè TV, Italia",,20,Comune di San Vendemiano,Via Enrico Fermi,31010,,Cosniga-Zoppè,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
GM0407026,1201001889,ELMANN S.R.L.U.,GM026,,,VIA DELLA RICERCA 15,CASALE SUL SILE,31032,TV,Italia,12.289110249,45.60042956,-622,,,,,,,,,,,,,,,,,,,,,,
TM3507012,1201002014,STEELFORM SRL,TM012,1,,"VIA UDINE, 60",RIVIGNANO,33050,UD,Italia,13.047710183,45.87981754,1270,45.879902,13.046981,"Via Udine, 60, 33050 Rivignano Udine, Italia",,60,Rivignano,Via Udine,33050,,Rivignano,Udine,UD,Friuli-Venezia Giulia,,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
L287052,1201002080,BM DI BARATTO GIUSEPPE,L2042,,,VIA I STRADA 7,CONSELVE,35026,PD,Italia,11.895798500,45.2093313,3425,,,,,,,,,,,,,,,,,,,,,,
LM0602118,1201002085,PIOVESAN FLORINDO SRL,LM119,,Linea SIRIO_M,VIA ZAGARIA 1/B,QUINTO DI TREVISO,31055,TV,Italia,12.164972500,45.629742,-2400,,,,,,,,,,,,,,,,,,,,,,
B95032,1201002085,PIOVESAN FLORINDO SRL,4795,,Obsoleta,VIA ZAGARIA 1/B,QUINTO DI TREVISO,31055,TV,Italia,12.164972500,45.629742,-3236,,,,,,,,,,,,,,,,,,,,,,
L692113,1201002085,PIOVESAN FLORINDO SRL,R1845,,Obsoleta,VIA ZAGARIA 1/B,QUINTO DI TREVISO,31055,TV,Italia,12.164972500,45.629742,-4423,,,,,,,,,,,,,,,,,,,,,,
TM3507011,1201001989,SIPA SPA,TM011,,,VIA CADUTI DEL LAVORO 3,VITTORIO VENETO,31029,TV,Italia,12.316711060,45.94538969,-4000,45.945391,12.316183,"Via Caduti sul Lavoro, 3, 31029 Vittorio Veneto TV, Italia",,3,Comune di Vittorio Veneto,Via Caduti sul Lavoro,31029,,Vittorio Veneto,Treviso,TV,Veneto,VEN,Italia,it,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
VM0607018,1201001937,T.C.S. SPA,VM018,,,VIA L. DA VINCI 100,TAVARNELLE VAL DI PESA,50028,FI,Italia,11.205796812,43.58214713,-2178,43.578094,11.207516,"Via Leonardo Da Vinci, 100, 50028 Comune di Tavarnelle Val di Pesa Provincia di Firenze, Italia",,100,,Via Leonardo Da Vinci,50028,,Comune di Tavarnelle Val di Pesa,Provincia di Firenze,,Toscana,TOS,Italia,it,0.9,1,0.9,© OpenAddresses contributors,BSD-3-Clause License,
GM0807028,1201001925,TECNOSTAMPI SRL,GM028,,,VIA A.MANZONI 11,GORNATE OLONA,21040,VA,Italia,8.856060356,45.74278054,-2433,45.742435,8.856939,"Via Manzoni, 11, 21040 Giornate Olona VA, Italia",,11,Comune di Gornate-Olona,Via Manzoni,21040,,Giornate Olona,Varese,VA,Lombardia,LOM,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LM0405138,1201001692,PALMIERI S.P.A.,LM139,3,Linea SIRIO_M,LOCALITA' CANEVAZZA,GAGGIO MONTANO,40100,BO,Italia,10.973921803,44.25843932,-2703,44.195704,10.936804,"40100 Comune di Gaggio Montano (Gaggio Montano), Italia",,,Comune di Gaggio Montano,,40100,,Gaggio Montano,Bologna,BO,Emilia-Romagna,EMI,Italia,it,0.5,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
GM0807030,1201001943,GAROFOLI SPA,GM030,,,STRADA DI PANTANO 13/15,TERNI,5100,TR,Italia,12.595509000,42.5471187,4658,,,,,,,,,,,,,,,,,,,,,,
RV1507043,1201002094,NARDELLO STAMPI SRL,RR038,,,VIA A. VELO 4,FONTANIVA,35014,PD,Italia,11.741217091,45.63304886,-1078,,,,,,,,,,,,,,,,,,,,,,
L292176,1201002103,MEZZARO OTTORINO SRL,L2124,,,VIA VECCHIA 8/A,CAMPODORO,35010,PD,Italia,11.757841098,45.4916497,-1609,,,,,,,,,,,,,,,,,,,,,,
RV1504021,1201002103,MEZZARO OTTORINO SRL,RV021,,Linea RAID,VIA VECCHIA 8/A,CAMPODORO,35010,PD,Italia,11.757841098,45.4916497,4483,,,,,,,,,,,,,,,,,,,,,,
L290088,1201002115,S.I.C.A.M. SRL,L2066,1,,"VIA TURATI, 52",CAVA MANARA,27051,PV,Italia,9.121189727,45.13583022,-1871,45.135405,9.119745,"Via Turati, 52, 27051 Tre Re - Mezzana Corti PV, Italia",,52,Comune di Cava Manara,Via Turati,27051,,Tre Re - Mezzana Corti,Pavia,PV,Lombardia,LOM,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
B03142,1201002101,CRAM SRL,RR039,,,VIA GATTI 2/G,FORMIGINE,41043,MO,Italia,10.861156600,44.5593245,-1112,,,,,,,,,,,,,,,,,,,,,,
VM1007021,1201001968,OVERTECH SRL,VM021,1,,"VIA PARRI, 3",SAN MICHELE TIORRE-FELINO,43030,PR,Italia,10.261001884,44.69136263,4392,44.686623,10.265686,"Via Sandro Pertini, 3, 43030 San Michele Tiorre PR, Italia",,3,Comune di Felino,Via Sandro Pertini,43030,,San Michele Tiorre,Parma,PR,Emilia-Romagna,EMI,Italia,it,0.42857142857142855,1,0.42857142857142855,© OpenAddresses contributors,BSD-3-Clause License,
B06151,1201001757,POZZAN STAMPI SRL,SB111,,Linea SPAZIO,VIA S. LORENZO 35,CARRE',36010,VI,Italia,11.464760142,45.73374554,330,45.734017,11.46444,"Via San Lorenzo, 35, 36010 Comune di Carrè VI, Italia",,35,,Via San Lorenzo,36010,,Comune di Carrè,Vicenza,VI,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
VM1008028,1201001852,COME SRL,VM028,,,VIA DEI CARPENTIERI 5,ALFONSINE,48011,RA,Italia,12.018180858,44.50926009,-3995,44.5085086,12.0171109,"Via dei Carpentieri, 5, 48011 Alfonsine RA, Italia",,5,,Via dei Carpentieri,48011,,Alfonsine,Ravenna,RA,Emilia-Romagna,EMI,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
GM1007032,1201001954,FAMAR SRL,GM032,,,V.LE DEI MARESCHI 50,AVIGLIANA,10051,TO,Italia,7.379997700,45.0844891,-4051,45.0844891,7.3799977,"Viale dei Mareschi, 10051 Avigliana Torino, Italia",Viale dei Mareschi,,,Viale dei Mareschi,10051,,Avigliana,Torino,TO,Piemonte,PIE,Italia,it,0.45,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
RM1607001,1201001023,CATTANEO MECCANICA S.R.L.,RM001,,,VIA DELL'INNOVAZIONE 9,ALBEGNO DI TREVIOLO,24048,BG,Italia,9.601226541,45.66904884,-3308,45.674858,9.621145,"Comune di Treviolo (Treviolo), LOM, Italia",,,Comune di Treviolo,,,,Treviolo,Bergamo,BG,Lombardia,LOM,Italia,it,0.08333333333333334,0.33333333333333337,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
L189095,1201002134,ZOOI DI DE KONINGH MINDERT TJEBBO,L1011,,,VIA SAVONA 97,MILANO,20144,MI,Italia,9.152927598,45.4505864,-1272,45.4502971,9.1522066,"Via Savona, 97, 20144 Milano MI, Italia",,97,,Via Savona,20144,Lorenteggio,Milano,Milano,MI,Lombardia,LOM,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SV1708037,1201001352,ILMA PLASTICA SRL,SV037,,,VIA ALIOLI E SASSI 1,OLTRONA DI GAVIRATE,21026,VA,Italia,8.741025771,45.83223106,-203,,,,,,,,,,,,,,,,,,,,,,
L292172,1201002142,ASOLMEC SRL,L2120,,,VIA DELL'ARTIGIANATO 2/B,CASELL ASOLO,31011,TV,Italia,11.927503111,45.78524364,-3603,,,,,,,,,,,,,,,,,,,,,,
L93599117,1201002138,O S L A DI SANDRONE MANUELA & C. SRL,LB059,,Linea LEM_93,"VIA VERCELLI ,1B",PIANEZZA,10044,TO,Italia,7.563131900,45.0968295,2381,,,,,,,,,,,,,,,,,,,,,,
VM0808031,1201002000,REGINATO SRL,VM031,,,VIA BODI 46,CASSOLA,36022,VI,Italia,11.818840400,45.724271,-373,45.724859,11.815376,"Via Bodi, 46, 36022 Comune di Cassola VI, Italia",,46,,Via Bodi,36022,,Comune di Cassola,Vicenza,VI,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
AM1008111,1201001995,SARIMI SRL,AM092,,,ZONA INDUSTRIALE 1,SANTA GIUSTINA,32035,BL,Italia,12.016599206,46.06914726,-1324,46.068266,12.01545,"Zona Industriale, 1, 32035 Santa Giustina BL, Italia",,1,Comune di Santa Giustina,Zona Industriale,32035,,Santa Giustina,Belluno,BL,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
L93596070,1201002160,GREGO SRL,LB012,,Linea LEM_93,VIA A. DE GASPERI 18/B,PIANEZZE SAN LORENZO,36060,VI,Italia,11.645199912,45.72127527,2633,44.128005,8.24782,"Comune di Loano (San Lorenzo), LIG, Italia",,,Comune di Loano,,,,San Lorenzo,Savona,SV,Liguria,LIG,Italia,it,0.16666666666666669,0.6666666666666667,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
TM3508020,1201002123,S.M.P. SRL,TM020,,,VIA DI VITTORIO 10/12/14,CASTEL SAN PIETRO TERME,40024,BO,Italia,11.579212496,44.40292565,3037,44.402252,11.579836,"Via Giuseppe Di Vittorio, 10, 40024 Castel San Pietro Terme BO, Italia",,10,Comune di Castel San Pietro Terme,Via Giuseppe Di Vittorio,40024,,Castel San Pietro Terme,Bologna,BO,Emilia-Romagna,EMI,Italia,it,0.855,1,0.9,© OpenAddresses contributors,BSD-3-Clause License,
VM0608029,1201002010,LA.RA. SRL,VM029,,,VIA GRANGIA VECCHIA 1/C,SALUZZO,12037,CN,Italia,7.503947400,44.64311971,-1916,,,,,,,,,,,,,,,,,,,,,,
VM0808030,1201002010,LA.RA. SRL,VM030,,,VIA GRANGIA VECCHIA 1/C,SALUZZO,12037,CN,Italia,7.503947400,44.64311971,2784,,,,,,,,,,,,,,,,,,,,,,
AM0808107,1201001934,OFFICINA MECC.TENTORI SNC DI TENTORI L. E V.,AM087,,Linea AREA_M Evolu.,VIA BERGAMO 31,GALBIATE,23851,LC,Italia,9.382889900,45.8125457,4310,45.813207,9.382044,"Via Bergamo, 31, 23851 Galbiate LC, Italia",,31,Comune di Galbiate,Via Bergamo,23851,,Galbiate,Lecco,LC,Lombardia,LOM,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
B98094,1201002183,POLIPLAST SRL,SB054,1,Linea SPAZIO,"VIA SAN CARLO, 23/G",ALBIATE BRIANZA,20847,MI,Italia,9.242887198,45.65525767,-2635,,,,,,,,,,,,,,,,,,,,,,
O293025,1201002184,IMPRESID SRL,5972,1,,"VIA DEGLI ARTIGIANI, 1",PAITONE,25080,BS,Italia,10.410406934,45.55507762,-182,45.5550281,10.4105002,"Via Degli Artigiani, 1, 25080 Paitone BS, Italia",,1,,Via Degli Artigiani,25080,,Paitone,Brescia,BS,Lombardia,LOM,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
B96044,1201002188,PEDRAZZI GIACOMO SRL,SB004,,Linea SPAZIO,VIA MARZABOTTO 10,SORESINA,26015,CR,Italia,9.871009100,45.28893,-3610,45.2888624,9.8721502,"Via Marzabotto, 10, 26015 Soresina CR, Italia",,10,Comune di Soresina,Via Marzabotto,26015,,Soresina,Cremona,CR,Lombardia,LOM,Italia,it,1,1,1,,,
GM0808037,1201001088,STILMEC SRL,GM037,,,VIA DON G. DELL'ACQUA 2H,BARZAGO,23890,LC,Italia,9.317265098,45.75062777,-4434,,,,,,,,,,,,,,,,,,,,,,
TM3508017,1201000785,OFF.MECC.FRANZOLINI SRL,TM017,,,"VIA CUSSIGNACCO 86, BASALDELLA",CAMPOFORMIDO,33030,UD,Italia,13.220031681,46.02802406,3569,46.0279786,13.2199845,"Officine Meccaniche Franzolini, Via Cussignacco, 86, 33030 Basaldella Udine, Italia",Officine Meccaniche Franzolini,86,,Via Cussignacco,33030,,Basaldella,Udine,UD,Friuli-Venezia Giulia,,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SV1706027,1201002195,M.C.S. SRL,SV027,,Linea STINGER,VIA RESEGONE 13,BEVERA DI SIRTORI,23896,LC,Italia,9.333942300,45.7474187,4261,,,,,,,,,,,,,,,,,,,,,,
LM0608163,1201001994,FIMI SPA,LM164,,,VIA DELL'INDUSTRIA 1,VIGANO',23897,LC,Italia,9.323341400,45.7178329,3491,45.723497,9.321648,"Via dell'Industria, 1, 23897 Viganò LC, Italia",,1,,Via dell'Industria,23897,,Viganò,Lecco,LC,Lombardia,LOM,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
VM0608036,1201002030,O.M.P. SRL,VM036,,,VIA VOLTA 12,MESERO,20010,MI,Italia,8.859946235,45.49352123,3896,45.486821,8.868943,"Via Volta, 12, 20010 Marcallo con Casone MI, Italia",,12,Comune di Marcallo con Casone,Via Volta,20010,,Marcallo con Casone,Milano,MI,Lombardia,LOM,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
SV1708038,1201001757,POZZAN STAMPI SRL,SV038,,,VIA S. LORENZO 35,CARRE',36010,VI,Italia,11.464760142,45.73374554,1955,45.734017,11.46444,"Via San Lorenzo, 35, 36010 Comune di Carrè VI, Italia",,35,,Via San Lorenzo,36010,,Comune di Carrè,Vicenza,VI,Veneto,VEN,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
L292190,1201002218,RIZZARDINI SRL,L2137,,,VIA MONDALINO 64-66,PRESEGLIE,25070,BS,Italia,10.393174847,45.65526527,-582,45.6552381,10.3931443,"Rizzardini S.r.l., Località Mondalino, 64, 25070 Gazzane di Preseglie BS, Italia",Rizzardini S.r.l.,64,,Località Mondalino,25070,,Gazzane di Preseglie,Brescia,BS,Lombardia,LOM,Italia,it,0.81,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
XM0808047,1201002053,OFF.MECC. ZANETTI SRL,XM037,,,VIA DEL PROGRESSO 40/42,VICENZA,36100,VI,Italia,11.594857536,45.442938,-4102,,,,,,,,,,,,,,,,,,,,,,
